time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,4,3,4,2
2026-09-10 00:00:00+00:00,3,3,4,3
2026-09-11 00:00:00+00:00,9,4,1,1
2026-09-12 00:00:00+00:00,7,7,4,1
2026-09-13 00:00:00+00:00,9,4,1,1
2026-09-14 00:00:00+00:00,4,4,13,6
2026-09-15 00:00:00+00:00,2,2,17,7
2026-09-16 00:00:00+00:00,12,7,8,2
2026-09-17 00:00:00+00:00,1,1,0,0
2026-09-18 00:00:00+00:00,2,2,0,0
2026-09-19 00:00:00+00:00,2,2,1,1
2026-09-20 00:00:00+00:00,3,3,0,0
2026-09-21 00:00:00+00:00,1,1,1,1
2026-09-22 00:00:00+00:00,3,3,8,4
