time_iso8601,stars_cumulative
2021-02-02 00:00:00+00:00,1
2021-04-08 00:00:00+00:00,2
2021-07-20 00:00:00+00:00,3
2021-12-01 00:00:00+00:00,4
2021-12-30 00:00:00+00:00,5
2022-03-02 00:00:00+00:00,6
2022-10-24 00:00:00+00:00,7
2023-01-09 00:00:00+00:00,8
2023-03-04 00:00:00+00:00,9
2023-04-28 00:00:00+00:00,10
2023-04-29 00:00:00+00:00,11
2023-05-02 00:00:00+00:00,13
2023-05-05 00:00:00+00:00,14
2023-05-08 00:00:00+00:00,15
2023-10-18 00:00:00+00:00,16
2024-02-04 00:00:00+00:00,17
2024-02-13 00:00:00+00:00,18
2024-06-27 00:00:00+00:00,20
2024-07-06 00:00:00+00:00,21
2025-03-30 00:00:00+00:00,22
2025-03-31 00:00:00+00:00,23
2025-04-06 00:00:00+00:00,24
2025-09-10 00:00:00+00:00,25
