time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-21 00:00:00+00:00,1,1,5,2
2022-09-23 00:00:00+00:00,1,1,1,1
2022-09-28 00:00:00+00:00,0,0,4,2
2022-09-29 00:00:00+00:00,0,0,13,3
2022-09-30 00:00:00+00:00,0,0,1,1
2022-10-03 00:00:00+00:00,4,4,27,2
2022-10-04 00:00:00+00:00,6,5,35,3
2022-10-05 00:00:00+00:00,2,2,1,1
2022-10-06 00:00:00+00:00,1,1,0,0
2022-10-07 00:00:00+00:00,1,1,1,1
2022-10-08 00:00:00+00:00,2,2,1,1
2022-10-09 00:00:00+00:00,1,1,1,1
2022-10-10 00:00:00+00:00,3,2,0,0
2022-10-11 00:00:00+00:00,1,1,7,2
2022-10-12 00:00:00+00:00,2,2,0,0
2022-10-13 00:00:00+00:00,1,1,0,0
2022-10-14 00:00:00+00:00,2,2,1,1
